timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1523102400,Apr 07 2018 - 12:00pm,complete,2248,VPS,Inter Turku,Antti Munukka,1,0.00,0.00,1.06,1.35,2,0,2,1,1,0,"35,79","",2,8,1,0,2,0,0,1,0,2,7,8,5,2,2,6,10,17,49,51,0.00,0.00,1.15,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.25,2.90,1.41,2.25,4.25,8.70,2.05,1.80,Elisa Stadion (Vaasa)
1523109600,Apr 07 2018 - 2:00pm,complete,1694,SJK,PS Kemi,Petri Viljanen,1,0.00,0.00,1.12,0.65,0,1,1,0,0,0,"","76",3,3,1,0,4,0,1,0,2,2,14,8,3,4,11,4,12,16,50,50,0.00,0.00,1.63,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,5.10,9.99,1.23,1.74,2.85,5.50,2.10,1.71,OmaSP Stadion
1523188800,Apr 08 2018 - 12:00pm,complete,2385,Lahti,TPS,Jani Laaksonen,1,0.00,0.00,1.41,0.53,3,2,5,0,0,0,"48,69,88","90,90'3",5,8,2,0,1,0,0,2,1,0,19,14,9,10,10,4,16,13,48,52,0.00,0.00,2.26,2.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.97,3.38,4.40,1.42,2.25,4.30,8.70,2.10,1.71,Lahden Kisapuisto
1523196000,Apr 08 2018 - 2:00pm,complete,3317,HJK,Ilves,Toni Pohjoismäki,1,0.00,0.00,2.41,1.38,3,1,4,1,0,1,"77,84,90'4","10",11,3,0,0,2,0,0,0,1,1,19,7,6,2,13,5,12,12,71,29,0.00,0.00,1.92,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,5.00,9.99,1.30,2.03,3.72,7.60,1.75,2.00,Telia 5G -areena
1523196000,Apr 08 2018 - 2:00pm,complete,1809,RoPS,Mariehamn,Atte Jussila,1,0.00,0.00,2.00,0.63,2,0,2,0,0,0,"53,80","",8,5,0,0,1,0,0,0,0,1,13,4,7,3,6,1,7,13,62,38,0.00,0.00,1.85,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.30,2.75,1.34,2.05,3.75,8.10,1.91,1.91,Rovaniemen Keskuskenttä
1523196000,Apr 08 2018 - 2:00pm,complete,2007,KuPS,Honka,Jari Järvinen,1,0.00,0.00,1.71,1.53,1,1,2,2,1,1,"23","9",4,8,1,0,1,0,0,1,0,1,8,3,7,3,1,0,10,11,49,51,0.00,0.00,1.08,0.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.96,3.45,4.33,1.28,2.05,3.45,7.10,1.17,4.60,Savon Sanomat Areena
1523710800,Apr 14 2018 - 1:00pm,complete,1445,Mariehamn,HJK,Oskari Hämäläinen,2,0.00,0.00,1.24,2.31,0,1,1,0,0,0,"","69",7,4,2,0,4,0,1,1,2,2,6,11,2,5,4,6,8,18,50,50,0.00,0.00,0.97,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.50,4.30,1.47,1.34,2.05,3.75,7.80,2.45,1.56,Wiklöf Holding Arena (Maarianhamina (Mariehamn)- Ahvenanmaa (Åland))
1523710800,Apr 14 2018 - 1:00pm,complete,1918,VPS,RoPS,Mikko Leino,2,3.00,0.00,1.06,1.76,0,1,1,1,0,1,"","24",7,2,3,0,0,0,0,3,0,0,9,10,4,3,5,7,15,12,57,43,1.15,0.00,1.37,1.22,1.00,0,50,0,0,0,0,50,0,50,2.00,1.00,2.03,3.39,4.12,1.36,2.10,3.85,8.10,1.95,1.87,Elisa Stadion (Vaasa)
1523793600,Apr 15 2018 - 12:00pm,complete,757,Ilves,KuPS,Antti Munukka,2,0.00,0.00,1.59,1.81,2,1,3,2,1,1,"35,79","10",3,5,3,0,1,0,1,2,1,0,8,5,7,2,1,3,13,12,50,50,0.00,0.00,1.34,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.82,3.23,2.73,1.39,2.45,4.55,9.90,1.90,1.83,Tammelan Stadion
1523793600,Apr 15 2018 - 12:00pm,complete,554,PS Kemi,Inter Turku,Ville Nevalainen,2,0.00,0.00,0.81,1.35,2,4,6,3,1,2,"43,90'3","40,45,79,86",5,4,1,0,1,0,0,1,1,0,12,14,7,8,5,6,13,8,52,48,0.00,1.40,1.81,2.01,1.00,0,50,0,0,0,0,50,0,50,8.00,2.00,4.55,3.59,1.88,1.25,1.80,3.00,5.80,1.83,1.95,Sauvosaaren Takakenttä N (Kemi)
1523793600,Apr 15 2018 - 12:00pm,complete,794,TPS,SJK,Kalle Mäkinen,2,0.00,0.00,1.25,0.81,0,2,2,0,0,0,"","88,90",3,4,2,0,1,0,0,2,1,0,12,6,4,3,8,3,9,10,50,50,0.00,0.00,1.47,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.78,3.44,2.11,1.33,2.24,3.95,8.40,8.00,1.06,Paavo Nurmi Stadion
1523793600,Apr 15 2018 - 12:00pm,complete,2100,Honka,Lahti,Jari Järvinen,2,0.00,0.00,2.00,1.00,0,0,0,0,0,0,"","",4,5,0,0,1,0,0,0,0,1,13,9,3,4,10,5,9,14,62,38,0.00,0.00,1.47,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.35,3.15,1.34,2.05,3.75,7.80,1.91,1.91,Tapiolan Urheilupuisto
1524065400,Apr 18 2018 - 3:30pm,complete,2110,SJK,HJK,Mattias Gestranius,3,0.00,3.00,1.12,2.31,0,1,1,1,0,1,"","33",1,6,1,0,2,0,0,1,0,2,7,15,0,4,7,11,18,12,44,56,1.63,1.55,0.57,1.42,1.00,0,0,0,0,0,0,0,0,100,7.00,5.00,6.53,4.15,1.57,1.33,2.00,3.75,7.50,2.00,1.73,OmaSP Stadion
1524065400,Apr 18 2018 - 3:30pm,complete,3123,KuPS,RoPS,Ville Nevalainen,3,1.00,3.00,1.71,1.76,0,1,1,0,0,0,"","90'4",7,3,1,0,0,0,0,1,0,0,12,11,2,4,10,7,14,8,51,49,1.08,1.22,1.48,1.28,1.50,50,50,0,0,0,50,100,0,0,6.00,1.00,1.84,3.65,4.71,1.33,2.05,3.70,7.50,2.00,1.80,Savon Sanomat Areena
1524315600,Apr 21 2018 - 1:00pm,complete,1960,SJK,Honka,Atte Jussila,3,0.00,1.00,1.12,1.53,2,0,2,1,1,0,"28,58","",0,6,2,0,1,0,0,2,1,0,6,10,4,3,2,7,16,2,50,50,1.10,0.43,0.98,1.35,1.50,50,50,0,0,0,50,75,0,25,10.00,2.00,2.52,3.34,2.99,1.34,2.05,3.75,8.10,1.91,1.91,OmaSP Stadion
1524315600,Apr 21 2018 - 1:00pm,complete,5525,Inter Turku,TPS,Mattias Gestranius,3,0.00,0.00,1.06,0.53,1,2,3,2,0,2,"64","12,30",6,8,1,0,2,0,0,1,0,2,13,7,5,5,8,2,7,11,54,46,0.00,2.18,1.57,1.14,2.50,50,50,50,50,50,0,0,50,50,8.00,1.00,2.07,3.47,3.86,1.34,2.05,3.75,7.60,1.91,1.91,Veritas Stadion
1524315600,Apr 21 2018 - 1:00pm,complete,5073,HJK,KuPS,Petri Viljanen,3,3.00,0.00,2.41,1.81,1,2,3,2,1,1,"5","36,81",4,4,1,0,5,0,1,0,1,4,11,10,3,4,8,6,8,14,59,41,1.92,0.98,1.25,1.17,3.50,100,100,100,50,0,50,100,50,100,16.00,1.00,1.37,4.85,9.99,1.25,1.90,3.15,6.10,2.25,1.57,Telia 5G -areena
1524315600,Apr 21 2018 - 1:00pm,complete,1587,Lahti,Ilves,Mohammad Al Emara,4,3.00,0.00,1.41,1.38,2,0,2,1,1,0,"25,74","",4,5,4,1,2,0,3,2,1,1,6,10,4,9,2,1,13,16,45,55,2.26,0.72,0.94,1.78,4.50,100,100,100,100,50,0,50,100,100,8.00,4.00,2.48,3.24,3.14,1.47,2.40,4.70,11.50,2.15,1.71,Lahden Kisapuisto
1524402000,Apr 22 2018 - 1:00pm,complete,1102,Mariehamn,VPS,Joni Hyytiä,4,0.00,0.00,1.24,1.41,2,2,4,2,1,1,"23,78","2,64",5,6,0,0,1,0,0,0,1,0,16,9,5,5,11,4,12,12,51,49,0.97,0.00,1.85,1.27,0.50,0,0,0,0,0,0,0,0,50,7.00,2.00,2.53,3.21,3.09,1.44,2.35,4.55,9.90,2.10,1.74,Wiklöf Holding Arena (Maarianhamina (Mariehamn)- Ahvenanmaa (Åland))
1524402000,Apr 22 2018 - 1:00pm,complete,2922,RoPS,PS Kemi,Mikko Leino,4,3.00,3.00,2.00,0.65,3,0,3,2,2,0,"20,38,56","",2,3,0,0,2,0,0,0,1,1,9,8,4,4,5,4,6,18,56,44,1.85,1.08,1.17,1.20,1.50,0,50,0,0,0,0,0,50,100,11.00,4.00,1.50,4.36,7.53,1.20,1.65,2.65,5.10,1.77,2.05,Rovaniemen Keskuskenttä
