timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1619265600,Apr 24 2021 - 12:00pm,complete,N/A,HJK,Honka,Oskari Hämäläinen,8,0.00,0.00,2.07,1.15,4,2,6,2,1,1,"42,53,78,90'2","7,71",8,1,1,0,3,0,0,1,1,2,16,11,9,7,7,4,12,10,59,41,0.00,0.00,2.16,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.75,5.80,1.38,1.85,3.25,6.00,1.95,1.80,Bolt Arena (Helsinki)
1619272800,Apr 24 2021 - 2:00pm,complete,N/A,Inter Turku,KuPS,Petri Viljanen,8,0.00,0.00,1.86,2.23,1,0,1,0,0,0,"55","",2,5,2,0,1,0,1,1,0,1,6,5,3,2,3,3,9,14,42,58,0.00,0.00,0.95,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.35,3.30,2.20,1.43,2.15,3.75,7.50,1.95,1.80,Veritas Stadion (Turku (Åbo))
1619969400,May 02 2021 - 3:30pm,complete,N/A,KuPS,HJK,Mohammad Al Emara,5,0.00,0.00,2.07,2.31,0,0,0,0,0,0,"","",3,6,1,0,3,0,1,0,1,2,6,4,4,2,2,2,13,14,58,42,0.00,0.00,1.35,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.92,3.35,2.45,1.30,2.00,3.50,7.00,1.75,2.00,Savon Sanomat Areena (Kuopio)
1620055800,May 03 2021 - 3:30pm,complete,N/A,Honka,Mariehamn,Petri Viljanen,5,0.00,0.00,1.29,1.21,0,2,2,1,0,1,"","45'1,66",8,7,5,0,2,0,1,4,0,2,11,6,5,3,6,3,7,15,60,40,0.00,0.00,1.76,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.55,5.00,1.33,1.91,3.20,6.25,1.87,1.87,Tapiolan Urheilupuisto (Espoo (Esbo))
1620055800,May 03 2021 - 3:30pm,complete,N/A,Lahti,Inter Turku,Antti Munukka,5,0.00,0.00,1.57,1.46,2,1,3,1,1,0,"7,78","83",2,10,4,0,2,0,1,3,1,1,5,16,4,8,1,8,10,5,41,59,0.00,0.00,0.81,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.15,2.25,1.39,2.10,3.50,7.00,1.87,1.91,Lahden Stadion (Lahti)
1620055800,May 03 2021 - 3:30pm,complete,N/A,SJK,KTP,Joni Hyytiä,5,0.00,0.00,1.92,0.43,1,1,2,1,0,1,"49","26",7,2,4,0,1,0,2,2,0,1,18,9,6,4,12,5,18,11,59,41,0.00,0.00,2.24,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,4.80,8.00,1.29,1.83,3.05,6.00,2.20,1.62,OmaSP Stadion (Seinäjoki)
1620055800,May 03 2021 - 3:30pm,complete,N/A,HIFK,Haka,Mattias Gestranius,5,0.00,0.00,1.15,1.46,2,0,2,1,1,0,"32,90","",5,9,1,0,2,0,0,1,2,0,10,10,4,6,6,4,6,17,48,52,0.00,0.00,1.26,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.30,3.00,1.29,1.87,3.00,7.00,1.75,2.00,Bolt Arena (Helsinki)
1620055800,May 03 2021 - 3:30pm,complete,N/A,Oulu,Ilves,Oskari Hämäläinen,5,0.00,0.00,1.08,0.79,0,2,2,2,0,2,"","7,22",2,6,1,0,3,0,0,1,1,2,7,14,2,8,5,6,15,17,50,50,0.00,0.00,1.07,2.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.35,3.00,2.30,1.44,2.25,4.05,8.25,1.95,1.80,Raatin stadion (Oulu)
1620401400,May 07 2021 - 3:30pm,complete,N/A,SJK,HIFK,Antti Munukka,6,1.00,0.00,1.92,1.43,1,1,2,0,0,0,"80","75",4,4,1,0,2,1,0,1,1,2,11,9,7,3,4,6,16,14,55,45,2.24,0.00,1.60,1.07,1.00,50,50,0,0,0,0,50,0,50,7.00,4.00,2.07,3.40,3.25,1.30,2.05,3.40,7.00,1.80,1.95,OmaSP Stadion (Seinäjoki)
1620401400,May 07 2021 - 3:30pm,complete,N/A,KTP,Honka,Jari Järvinen,6,0.00,0.00,0.38,1.15,1,3,4,2,0,2,"59","7,38,63",4,5,0,0,0,0,0,0,0,0,8,10,5,4,3,6,11,10,39,61,0.00,1.44,1.06,1.27,3.00,50,50,50,50,50,50,50,50,50,1.00,3.00,4.80,3.65,1.74,1.33,1.95,3.25,6.50,1.91,1.83,Arto Tolsa Areena (Kotka)
